source,product_id,title,category,handle,product_url,available,price_min_nzd,price_max_nzd,updated_at,scraped_at,varietal,size_prices,origin_country,producer,process,decaf,description,flavour_notes
rocketcoffee.co.nz,8101055103152,Arturo Arango - Castillo [natural] espresso,espresso roast,arturo-arango-natural-espresso,https://rocketcoffee.co.nz/products/arturo-arango-natural-espresso,True,28.0,95.0,2026-08-17T23:02:01+12:00,2026-08-17T12:54:20+00:00,castillo,"[{'size_grams': 250.0, 'price_nzd': 28.0}, {'size_grams': 1000.0, 'price_nzd': 95.0}]",unknown,unknown,unknown,False,"Arturo's natural Castillo is sweet & fruity with favours of raspberry, passionfruit & turkish delight. Roasted in H-town 12 AUG 2026",unknown
rocketcoffee.co.nz,8087594041520,Arturo Arango - Caturra [washed] filter roast,filter roast,arturo-arango-caturra-washed-filter-roast,https://rocketcoffee.co.nz/products/arturo-arango-caturra-washed-filter-roast,True,28.0,28.0,2026-08-17T23:02:01+12:00,2026-08-17T12:54:20+00:00,caturra,"[{'size_grams': 250.0, 'price_nzd': 28.0}]",unknown,unknown,unknown,False,"Arturo's washed Caturra is super sweet & easy to drink, with flavours of candy apple, blackberry & marmalade. Roasted in H-town 12 AUG 2026",unknown
rocketcoffee.co.nz,8100015538352,Arturo Arango - Yellow Sudan Rume [natural] filter roast,filter roast,arturo-arango-yellow-sudan-rume-natural-filter-roast,https://rocketcoffee.co.nz/products/arturo-arango-yellow-sudan-rume-natural-filter-roast,True,50.0,50.0,2026-08-17T23:02:01+12:00,2026-08-17T12:54:20+00:00,sudan rume,"[{'size_grams': 250.0, 'price_nzd': 50.0}]",unknown,unknown,unknown,False,"Arturo’s Yellow Sudan Rume is wonderful, sweet with a floral aroma & flavours of blackberry, tangelo, blueberry, elderflower & lemon zest. Roasted in H-town 11 AUG 2026",unknown
rocketcoffee.co.nz,6984263467184,DECAF - Colombia Popayán Espresso,espresso roast,decaff-capucas-cooperative-honduras-single-origin-espresso-roast,https://rocketcoffee.co.nz/products/decaff-capucas-cooperative-honduras-single-origin-espresso-roast,True,20.0,70.0,2026-08-17T23:02:01+12:00,2026-08-17T12:54:20+00:00,unknown,"[{'size_grams': 250.0, 'price_nzd': 20.0}, {'size_grams': 1000.0, 'price_nzd': 70.0}]",unknown,unknown,unknown,True,,unknown
rocketcoffee.co.nz,8061000351920,Diofanor Ruiz - Castillo [washed] filter roast,filter roast,diofanor-ruiz-castillo-washed-filter-roast,https://rocketcoffee.co.nz/products/diofanor-ruiz-castillo-washed-filter-roast,True,27.0,27.0,2026-08-17T23:02:01+12:00,2026-08-17T12:54:20+00:00,castillo,"[{'size_grams': 250.0, 'price_nzd': 27.0}]",unknown,unknown,unknown,False,"This washed Castillo is sweet with flavours of strawberry, raspberry & panela. Roasted in H-town 11 AUG 2026",unknown
rocketcoffee.co.nz,7947301159088,Don Claudio Project - Caturra - Catuai - Obata [natural] espresso,espresso roast,don-claudio-project-caturra-catuai-obata-natural-espresso,https://rocketcoffee.co.nz/products/don-claudio-project-caturra-catuai-obata-natural-espresso,True,26.0,88.0,2026-08-17T23:02:01+12:00,2026-08-17T12:54:20+00:00,"caturra,catuai,obata","[{'size_grams': 250.0, 'price_nzd': 26.0}, {'size_grams': 1000.0, 'price_nzd': 88.0}]",unknown,unknown,unknown,False,"This is a heavy-bodied, sweet coffee with flavours of mango, strawberry & red apple. Roasted in H-town 12 AUG 2026",unknown
rocketcoffee.co.nz,6982371016880,ESPRESSO BLEND,espresso roast,rocket-espresso-blend-new,https://rocketcoffee.co.nz/products/rocket-espresso-blend-new,True,18.0,55.0,2026-08-17T23:02:01+12:00,2026-08-17T12:54:20+00:00,unknown,"[{'size_grams': 250.0, 'price_nzd': 18.0}, {'size_grams': 1000.0, 'price_nzd': 55.0}]",unknown,unknown,unknown,False,This blend is 50% Idido Memeru Demese - Ethiopia & 50% ASPROTIMANÁ - Colombia. Roasted in H-town Daily.,unknown
rocketcoffee.co.nz,11781494148,ESPRESSO BLEND subscription,espresso roast,rocket-espresso-blend-subscription,https://rocketcoffee.co.nz/products/rocket-espresso-blend-subscription,True,213.0,708.0,2026-08-17T23:02:01+12:00,2026-08-17T12:54:20+00:00,unknown,"[{'size_grams': 250.0, 'price_nzd': 213.0}, {'size_grams': 250.0, 'price_nzd': 213.0}, {'size_grams': 250.0, 'price_nzd': 213.0}, {'size_grams': 500.0, 'price_nzd': 378.0}, {'size_grams': 500.0, 'price_nzd': 378.0}, {'size_grams': 500.0, 'price_nzd': 378.0}, {'size_grams': 1000.0, 'price_nzd': 708.0}, {'size_grams': 1000.0, 'price_nzd': 708.0}, {'size_grams': 1000.0, 'price_nzd': 708.0}]",unknown,unknown,unknown,False,"This subscription is for our Rocket Espresso Blend, it's seasonal, changing throughout the year as fresh crop coffee arrives into the country. This is for 12 deliveries, choose either 250g, 500g or 1kg, sent weekly, fortnightly or monthly. For more information on the current Espresso Blend click here All subscriptions include freight. For any changes to your subscription or help on coffee brewing of all methods i.e. espresso, plunger etc fire an email through to espresso@rocketcoffee.co.nz",unknown
rocketcoffee.co.nz,7338828759216,ESPRESSO DULCE,espresso roast,dulce-espresso-blend,https://rocketcoffee.co.nz/products/dulce-espresso-blend,True,18.0,55.0,2026-08-17T23:02:01+12:00,2026-08-17T12:54:20+00:00,unknown,"[{'size_grams': 250.0, 'price_nzd': 18.0}, {'size_grams': 1000.0, 'price_nzd': 55.0}]",unknown,unknown,unknown,False,"This is our second-best selling espresso blend, it is our darkest [but not dark, oily & roasty] espresso blend. Currently it’s a 50:50 blend of Francisco Isidro Pereira from Brasil & ASPROTIMANÁ from Colombia. Perfect as a flat white. Dulce is sweet with flavours of milk chocolate & caramel. As a black coffee, you’ll find dark chocolate, brown sugar & roasted almonds.",unknown
rocketcoffee.co.nz,7762789630128,ESPRESSO DULCE subscription,espresso roast,espresso-dulce-subscription,https://rocketcoffee.co.nz/products/espresso-dulce-subscription,True,213.0,708.0,2026-08-17T23:02:01+12:00,2026-08-17T12:54:20+00:00,unknown,"[{'size_grams': 250.0, 'price_nzd': 213.0}, {'size_grams': 250.0, 'price_nzd': 213.0}, {'size_grams': 250.0, 'price_nzd': 213.0}, {'size_grams': 500.0, 'price_nzd': 378.0}, {'size_grams': 500.0, 'price_nzd': 378.0}, {'size_grams': 500.0, 'price_nzd': 378.0}, {'size_grams': 1000.0, 'price_nzd': 708.0}, {'size_grams': 1000.0, 'price_nzd': 708.0}, {'size_grams': 1000.0, 'price_nzd': 708.0}]",unknown,unknown,unknown,False,"This subscription is for our Rocket Espresso DULCE, it's seasonal, changing throughout the year as fresh crop coffee arrives into the country. This is for 12 deliveries, choose either 250g, 500g or 1kg, sent weekly, fortnightly or monthly. For more information on the current Espresso Dulce click here All subscriptions include freight. For any changes to your subscription or help on coffee brewing of all methods i.e. espresso, plunger etc fire an email through to espresso@rocketcoffee.co.nz",unknown
rocketcoffee.co.nz,8061619536048,Gicherori Peaberry - SL28 - SL34 - Ruiru 11 - Batian [washed] filter roast,filter roast,gicherori-peaberry-sl28-sl34-ruiru-11-batian-washed-filter-roast,https://rocketcoffee.co.nz/products/gicherori-peaberry-sl28-sl34-ruiru-11-batian-washed-filter-roast,True,28.0,28.0,2026-08-17T23:02:01+12:00,2026-08-17T12:54:20+00:00,"ruiru 11,sl28,sl34,batian","[{'size_grams': 250.0, 'price_nzd': 28.0}]",unknown,unknown,unknown,False,"This is a tasty peaberry selection. It's juicy with flavours of lemon verbena, redcurrant & apricot, Roasted in H-town 13 AUG 2026",unknown
rocketcoffee.co.nz,8101037015216,Githembe - SL28 - SL34 - Ruiru 11 - Batian [washed] filter roast,filter roast,githembe-sl28-sl34-ruiru-11-batian-washed-filter-roast,https://rocketcoffee.co.nz/products/githembe-sl28-sl34-ruiru-11-batian-washed-filter-roast,True,28.0,28.0,2026-08-17T23:02:01+12:00,2026-08-17T12:54:20+00:00,"ruiru 11,sl28,sl34,batian","[{'size_grams': 250.0, 'price_nzd': 28.0}]",unknown,unknown,unknown,False,"This Kenyan has flavours of ribena, Syrah & ripe apricot. Roasted in H-town 13 AUG 2026",unknown
rocketcoffee.co.nz,8077053296816,Jairo Arcila - Castillo [natural decaf] filter roast,filter roast,jairo-arcila-castillo-natural-decaf-filter-roast,https://rocketcoffee.co.nz/products/jairo-arcila-castillo-natural-decaf-filter-roast,True,28.0,28.0,2026-08-17T23:02:01+12:00,2026-08-17T12:54:20+00:00,"castillo,caturra","[{'size_grams': 250.0, 'price_nzd': 28.0}]",unknown,unknown,unknown,True,"This is a delicious natural decaf from Jairo. It has flavours of peach, passionfruit & cherry cola…… Roasted in H- town 17 AUG 2026",unknown
rocketcoffee.co.nz,8081024614576,Jorge Osorio - V. Colombia [washed] espresso,espresso roast,jorge-osorio-v-colombia-washed-espresso,https://rocketcoffee.co.nz/products/jorge-osorio-v-colombia-washed-espresso,True,27.0,92.0,2026-08-17T23:02:01+12:00,2026-08-17T12:54:20+00:00,unknown,"[{'size_grams': 250.0, 'price_nzd': 27.0}, {'size_grams': 1000.0, 'price_nzd': 92.0}]",unknown,unknown,unknown,False,"This washed lot of V. Colombia from Jorge has flavours of chocolate, orange & a hint of lemon zest Roasted in H-town 12 AUG 2026",unknown
rocketcoffee.co.nz,8055903944880,July Jumbo - Sidra [washed double fermented] filter roast,filter roast,july-jumbo-sidra-washed-double-fermented-filter-roast,https://rocketcoffee.co.nz/products/july-jumbo-sidra-washed-double-fermented-filter-roast,True,42.0,42.0,2026-08-17T23:02:01+12:00,2026-08-17T12:54:20+00:00,sidra,"[{'size_grams': 250.0, 'price_nzd': 42.0}]",unknown,unknown,unknown,False,"July Jumbo’s washed Sidra has flavours of creaming soda, peach & raspberry. Roasted in H-town 10 AUG 2026",unknown
rocketcoffee.co.nz,8102659195056,Karundu - SL28 - SL34 - Ruiru 11 - Batian [washed] filter roast,filter roast,karundu-sl28-sl34-ruiru-11-batian-washed-filter-roast,https://rocketcoffee.co.nz/products/karundu-sl28-sl34-ruiru-11-batian-washed-filter-roast,True,28.0,28.0,2026-08-17T23:02:01+12:00,2026-08-17T12:54:20+00:00,"ruiru 11,sl28,sl34,batian","[{'size_grams': 250.0, 'price_nzd': 28.0}]",unknown,unknown,unknown,False,Roasted in H-town 17 AUG 2026,unknown
rocketcoffee.co.nz,8087907172528,Kii - SL28 - SL34 [washed] filter roast,filter roast,kii-sl28-sl34-washed-filter-roast,https://rocketcoffee.co.nz/products/kii-sl28-sl34-washed-filter-roast,True,28.0,28.0,2026-08-17T23:02:01+12:00,2026-08-17T12:54:20+00:00,"sl28,sl34","[{'size_grams': 250.0, 'price_nzd': 28.0}]",unknown,unknown,unknown,False,"Kii has juicy acidity with flavours of rose-hip tea, raspberry & black doris plum. Roasted in H-town 13 AUG 2026",unknown
rocketcoffee.co.nz,8082951438512,Kiunyu  - SL28 - SL34 - Ruiru 11 - Batian [washed] filter roast,filter roast,kiunyu-sl28-sl34-ruiru-11-batian-washed-filter-roast,https://rocketcoffee.co.nz/products/kiunyu-sl28-sl34-ruiru-11-batian-washed-filter-roast,True,28.0,28.0,2026-08-17T23:02:01+12:00,2026-08-17T12:54:20+00:00,"ruiru 11,sl28,sl34,batian","[{'size_grams': 250.0, 'price_nzd': 28.0}]",unknown,unknown,unknown,False,"Kiunyu has flavours of blackcurrant, hibiscus & red liquorice. Roasted in H-town 10 AUG 2026",unknown
rocketcoffee.co.nz,8099758833840,Luz Helena - Caturra [natural] filter roast,filter roast,luz-helena-caturra-natural-filter-roast,https://rocketcoffee.co.nz/products/luz-helena-caturra-natural-filter-roast,True,28.0,28.0,2026-08-17T23:02:01+12:00,2026-08-17T12:54:20+00:00,caturra,"[{'size_grams': 250.0, 'price_nzd': 28.0}]",unknown,unknown,unknown,False,"Luz' naturally processed Caturra is a great coffee with flavours of purple winegums, ripe red plum & a floral aroma Roasted in H-town 13 AUG 2026",unknown
rocketcoffee.co.nz,8058992361648,Milton Torres - Caturra [washed] filter roast,filter roast,milton-torres-caturra-washed-filter-roast,https://rocketcoffee.co.nz/products/milton-torres-caturra-washed-filter-roast,True,26.0,26.0,2026-08-17T23:02:01+12:00,2026-08-17T12:54:20+00:00,caturra,"[{'size_grams': 250.0, 'price_nzd': 26.0}]",unknown,unknown,unknown,False,"Milton's washed Caturra is sweet & fruity without too much acidity. It has flavours of pear, flat lemonade & papaya. Roasted in H-town 12 AUG 2026",unknown
rocketcoffee.co.nz,8009599647920,Mr. Diki & Don Aman - P88 - Lini S795  [carbonic maceration] filter roast,filter roast,mr-diki-don-aman-p88-lini-s795-carbonic-maceration,https://rocketcoffee.co.nz/products/mr-diki-don-aman-p88-lini-s795-carbonic-maceration,True,30.0,30.0,2026-08-17T23:02:01+12:00,2026-08-17T12:54:20+00:00,java,"[{'size_grams': 250.0, 'price_nzd': 30.0}]",unknown,unknown,unknown,False,"This is very sweet & syrupy with flavours of peach, orange juice & ripe pineapple. Roasted in H-town 11 AUG 2026",unknown
rocketcoffee.co.nz,8026764640432,Mr. Diki & Don Aman - P88 - S795 [carbonic maceration] espresso,espresso roast,mr-diki-don-aman-p88-s795-carbonic-maceration-espresso-copy,https://rocketcoffee.co.nz/products/mr-diki-don-aman-p88-s795-carbonic-maceration-espresso-copy,True,30.0,108.0,2026-08-17T23:02:01+12:00,2026-08-17T12:54:20+00:00,java,"[{'size_grams': 250.0, 'price_nzd': 30.0}, {'size_grams': 1000.0, 'price_nzd': 108.0}]",unknown,unknown,unknown,False,"This is very sweet & syrupy with flavours of peach, orange juice & ripe pineapple. Roasted in H-Town 12 AUG 2026",unknown
rocketcoffee.co.nz,7276031213744,ORGANIC ESPRESSO,espresso roast,rocket-organic-espresso-blend,https://rocketcoffee.co.nz/products/rocket-organic-espresso-blend,True,18.0,55.0,2026-08-17T23:02:01+12:00,2026-08-17T12:54:20+00:00,unknown,"[{'size_grams': 250.0, 'price_nzd': 18.0}, {'size_grams': 1000.0, 'price_nzd': 55.0}]",unknown,unknown,unknown,False,This blend is 40 % Asociación San Martin - Peru & 60% Asociacion ASOBRIS - Colombia,unknown
rocketcoffee.co.nz,7164348170416,ORGANIC ESPRESSO subscription,espresso roast,rocket-organic-espresso-blend-subscription,https://rocketcoffee.co.nz/products/rocket-organic-espresso-blend-subscription,True,213.0,708.0,2026-08-17T23:02:01+12:00,2026-08-17T12:54:20+00:00,unknown,"[{'size_grams': 250.0, 'price_nzd': 213.0}, {'size_grams': 250.0, 'price_nzd': 213.0}, {'size_grams': 500.0, 'price_nzd': 378.0}, {'size_grams': 500.0, 'price_nzd': 378.0}, {'size_grams': 250.0, 'price_nzd': 213.0}, {'size_grams': 500.0, 'price_nzd': 378.0}, {'size_grams': 1000.0, 'price_nzd': 708.0}, {'size_grams': 1000.0, 'price_nzd': 708.0}, {'size_grams': 1000.0, 'price_nzd': 708.0}]",unknown,unknown,unknown,False,"This subscription is for our Organic espresso blend, it's seasonal, changing throughout the year as fresh crop coffee arrives into the country. This is for 12 deliveries, choose either 250g or 500g sent weekly, fortnightly or monthly... because you're prepaying we'll charge the 1kg rate. For more information on the current Organic espresso blend click here All subscriptions include freight. For any changes to your subscription or help on coffee brewing of all methods i.e. espresso, plunger etc fire an email through to espresso@rocketcoffee.co.nz",unknown
rocketcoffee.co.nz,8061671276720,Paola y Carlos Trujillo - Aji [washed] filter roast,filter roast,paola-y-carlos-trujillo-aji-washed-filter-roast,https://rocketcoffee.co.nz/products/paola-y-carlos-trujillo-aji-washed-filter-roast,True,38.0,38.0,2026-08-17T23:02:01+12:00,2026-08-17T12:54:20+00:00,unknown,"[{'size_grams': 250.0, 'price_nzd': 38.0}]",unknown,unknown,unknown,False,"This is the first Aji cultivar we’ve offered & it’s a doozy. It’s very sweet, clean & juicy with flavours of ripe blueberry, apple syrup & gold kiwifruit. Roasted in H-town 14 AUG 2026",unknown
